都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),県庁所在地,風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2
長野,48571,四,野辺山,ﾉﾍﾞﾔﾏ,南牧村野辺山,南佐久郡南牧村野辺山,35,56.9,138,28.3,1350,0,10,1.5,#昭53.11.15,−,湿度を除く
長野,48601,雨,御嶽山,ｵﾝﾀｹｻﾝ,王滝村御嶽山,木曽郡王滝村御岳国有林,35,52.3,137,30.2,2195,0,−,−,昭51.7.1,−,−
長野,48606,四,木曽福島,ｷｿﾌｸｼﾏ,木曽町木曽福島,木曽郡木曽町福島,35,50.4,137,41.3,750,0,8.2,1.5,昭51.3.25,−,−
長野,48621,四,伊那,ｲﾅ,伊那市下新田,伊那市下新田,35,49.5,137,57.3,633,0,10,1.5,平5.2.25,−,湿度を除く
長野,48681,雨,宮田高原,ﾐﾔﾀﾞｺｳｹﾞﾝ,宮田高原,上伊那郡宮田村,35,46.4,137,53.1,1660,0,−,−,#,−,−
長野,48691,雨,杉島,ｽｷﾞｼﾏ,伊那市杉島,伊那市長谷杉島,35,43.6,138,5.6,905,0,−,−,昭58.6.23,−,−
長野,48716,雨,須原,ｽﾊﾗ,大桑村須原,木曽郡大桑村須原殿,35,41.9,137,41.5,535,0,−,−,#,−,−
長野,48717,四,南木曽,ﾅｷﾞｿ,南木曽,木曽郡南木曽町読書,35,36.6,137,37.2,560,0,9.9,1.5,(昭50.5.20)昭53.11.24,−,−
長野,48731,四,飯島,ｲｲｼﾞﾏ,飯島,上伊那郡飯島町七久保,35,39.2,137,53.9,728,0,10,1.5,#昭53.11.28,−,−
長野,48737,雨,大鹿,ｵｵｼｶ,大鹿,下伊那郡大鹿村大河原,35,33.4,138,2.4,718,0,−,−,昭58.6.14,−,−
長野,48767,官,飯田,ｲｲﾀﾞ,飯田市高羽町,飯田市高羽町　飯田特別地域気象観測所,35,31.4,137,49.3,516,0,36.1,−,平14.5.27,48945,−
長野,48826,四,浪合,ﾅﾐｱｲ,阿智村浪合,下伊那郡阿智村浪合,35,22.4,137,41.5,940,0,10,1.5,昭53.11.28,−,−
長野,48836,雨,阿南,ｱﾅﾝ,阿南,下伊那郡阿南町南条,35,18.8,137,48.7,610,0,−,−,昭53.12.26,−,−
長野,48841,四,南信濃,ﾐﾅﾐｼﾅﾉ,飯田市南信濃,飯田市南信濃和田字夜川瀬,35,19.3,137,55.9,407,0,9.5,1.5,昭53.12.1,−,湿度を除く
山梨,49036,四,大泉,ｵｵｲｽﾞﾐ,北杜市大泉,北杜市大泉町谷戸,35,51.7,138,23.2,867,0,10,1.5,(昭50.5.20)昭52.12.23,−,湿度を除く
山梨,49052,雨,乙女湖,ｵﾄﾒｺ,山梨市牧丘町乙女湖,山梨市牧丘町柳平,35,48.4,138,39.3,1465,0,−,−,平20.10.21,−,−
山梨,49086,四,韮崎,ﾆﾗｻｷ,韮崎,韮崎市大草町若尾,35,41.6,138,26.9,341,0,6.6,1.5,(昭50.5.20)昭52.12.23,−,−
山梨,49142,官,甲府,ｺｳﾌ,甲府,甲府市飯田　甲府地方気象台,35,40,138,33.2,273,1,26.9,−,平5.3.18,49900,−
山梨,49151,四,勝沼,ｶﾂﾇﾏ,甲州市勝沼,甲州市勝沼町勝沼,35,39.8,138,43.5,394,0,9.5,1.5,#昭52.12.22,−,−
山梨,49161,四,大月,ｵｵﾂｷ,大月,大月市大月,35,36.5,138,56.3,364,0,9.9,1.7,#昭52.12.22,−,−
山梨,49172,雨,上野原,ｳｴﾉﾊﾗ,上野原,上野原市松留,35,37.2,139,6.3,187,0,−,−,平27.2.18,−,−
山梨,49187,雨,富士川,ﾌｼﾞｶﾜ,富士川町最勝寺,南巨摩郡富士川町最勝寺,35,33.7,138,26.9,295,0,−,−,平25.3.14,−,−
山梨,49196,四,古関,ﾌﾙｾｷ,甲府市古関,甲府市古関町,35,31.7,138,36.9,552,0,10.3,1.5,#昭53.11.13,−,−
山梨,49236,四,切石,ｷﾘｲｼ,身延町切石,南巨摩郡身延町切石,35,28,138,26.5,226,0,10,1.5,昭52.12.26,−,湿度を除く
山梨,49251,官,河口湖,ｶﾜｸﾞﾁｺ,河口湖,南都留郡富士河口湖町船津　河口湖特別地域気象観測所,35,30,138,45.6,860,0,15.1,−,#昭50.12.6,49905,−
山梨,49256,四,山中,ﾔﾏﾅｶ,山中湖村,南都留郡山中湖村山中字梨ヶ原,35,26.2,138,50.2,992,0,6.5,2,#昭52.12.27,−,湿度を除く
山梨,49316,四,南部,ﾅﾝﾌﾞ,南部町,南巨摩郡南部町南部,35,17.3,138,26.7,141,0,9.2,1.5,#昭52.12.26,−,−
静岡,50066,官,富士山,ﾌｼﾞｻﾝ,,富士宮市富士山頂　富士山特別地域気象観測所,35,21.6,138,43.6,3775,0,−,−,平16.8.26,−,気温、日照
