都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),県庁所在地,風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2
栃木,41331,四,真岡,ﾓｵｶ,真岡,真岡市下籠谷,36,28.6,139,59.2,91,0,10,1.5,#昭53.1.10,−,−
栃木,41356,雨,足利,ｱｼｶｶﾞ,足利,足利市元学町,36,20.5,139,27.7,35,0,−,−,#,−,−
栃木,41361,四,佐野,ｻﾉ,佐野,佐野市田沼町,36,21.8,139,34.2,68,0,10.8,1.5,(昭50.5.20)昭53.1.9,−,−
栃木,41371,雨,栃木,ﾄﾁｷﾞ,栃木,栃木市平井町,36,22.4,139,42.2,65,0,−,−,#,−,−
栃木,41376,四,小山,ｵﾔﾏ,小山,小山市出井,36,20.3,139,49.8,44,0,15.8,1.5,#昭53.1.10,−,湿度を除く
群馬,42046,四,藤原,ﾌｼﾞﾜﾗ,みなかみ町藤原,利根郡みなかみ町藤原字屋倉,36,51.8,139,3.5,700,0,9.9,4,昭52.11.11,42900,−
群馬,42091,四,みなかみ,ﾐﾅｶﾐ,みなかみ町湯原,利根郡みなかみ町湯原,36,46.4,138,57.9,524,0,10,3,(昭50.5.20)昭52.12.23,42905,−
群馬,42106,雨,片品,ｶﾀｼﾅ,片品,利根郡片品村鎌田,36,46.3,139,14.3,861,0,−,−,昭52.7.19,−,−
群馬,42121,四,草津,ｸｻﾂ,草津,吾妻郡草津町草津,36,37,138,35.5,1223,0,7.5,2.5,#昭52.12.23,42910,湿度を除く
群馬,42146,四,沼田,ﾇﾏﾀ,沼田,沼田市井土上町,36,40.1,139,1.3,390,0,9.9,1.5,#昭52.12.21,−,−
群馬,42186,四,中之条,ﾅｶﾉｼﾞｮｳ,中之条,吾妻郡中之条町伊勢町,36,35.2,138,51,354,0,10,1.5,(昭50.5.20)昭52.12.21,−,−
群馬,42221,四,田代,ﾀｼﾛ,嬬恋村田代,吾妻郡嬬恋村田代,36,27.8,138,27.8,1230,0,9.9,2,#昭52.12.22,−,−
群馬,42241,雨,榛名山,ﾊﾙﾅｻﾝ,高崎市榛名山,高崎市榛名湖町沼ノ原甲,36,28.3,138,52.4,1088,0,−,−,#,−,−
群馬,42251,官,前橋,ﾏｴﾊﾞｼ,前橋,前橋市昭和町　前橋地方気象台,36,24.3,139,3.6,112,1,−,−,#昭50.2.27,42915,気温、雨
群馬,42261,雨,黒保根,ｸﾛﾎﾈ,桐生市黒保根,桐生市黒保根町水沼,36,30.1,139,17,285,0,−,−,昭53.6.16,−,−
群馬,42266,四,桐生,ｷﾘｭｳ,桐生,桐生市元宿町,36,24.6,139,19.5,117,0,9.9,1.5,#昭51.2.5,−,−
群馬,42286,四,上里見,ｶﾐｻﾄﾐ,高崎市上里見,高崎市上里見町,36,22.6,138,53.7,183,0,6.5,1.5,#昭52.12.19,−,湿度を除く
群馬,42302,四,伊勢崎,ｲｾｻｷ,伊勢崎,伊勢崎市宮子町,36,19.9,139,9.9,64,0,12,1.5,平10.7.27,−,湿度を除く
群馬,42326,四,西野牧,ﾆｼﾉﾏｷ,下仁田町西野牧,甘楽郡下仁田町西野牧,36,14.7,138,42.4,375,0,10,1.5,#昭52.12.20,−,−
群馬,42341,雨,藤岡,ﾌｼﾞｵｶ,藤岡,藤岡市藤岡,36,14.5,139,4.2,95,0,−,−,#,−,−
群馬,42366,四,館林,ﾀﾃﾊﾞﾔｼ,館林,館林市富士原町,36,14.4,139,30.8,23,0,10.1,1.5,#昭53.12.22,−,−
群馬,42396,四,神流,ｶﾝﾅ,神流町神流,多野郡神流町大字黒田字坂井道下,36,6.5,138,53.8,357,0,8.5,1.5,昭52.11.17,−,湿度を除く
埼玉,43051,四,寄居,ﾖﾘｲ,寄居,大里郡寄居町大字折原,36,6.3,139,11,128,0,10,1.5,(昭50.5.17)昭52.12.19,−,−
